Модель;Мин. ширина (м);Мин. высота (м);Длина ряда ширин;Длина колонки высот
Титульный лист;;;0;0
СОДЕРЖАНИЕ;;;0;0
KFC;1.5;1.5;0;34
Вертикальные;;;0;0
Замена ткани вертикальной;0.5;0.5;7;0
Расчёт кол-ва ламелей;1.0;1.0;0;6
Горизонтальные алюминиевые ;;;0;0
Алюминиевые АБСОЛЮТ 50 мм;0.4;0.5;47;46
Готовые горизонтальные жалюзи;;;0;0
Дерево, бамбук 25 мм;;;0;0
Дерево, бамбук 50 мм АБСОЛЮТ;;;0;0
Изолайт 25мм белая фурнитура ;0.3;0.2;20;21
Изолайт 25мм цветная фурнитура;0.3;0.2;20;21
Изолайт 16мм белая фурнитура;0.3;0.2;20;21
Изолайт 16мм цветная фурнитура;0.3;0.2;20;21
Исотра Хит 2 25мм;0.3;0.2;20;21
Исотра Хит 2 25мм ламинация;0.3;0.2;20;21
Исотра Хит 2 16мм ;0.3;0.2;20;21
Исотра Хит 2 16мм ламинация;0.3;0.2;20;21
Исотра 25мм;0.3;0.2;20;21
Исотра 16мм;0.3;0.2;20;21
V-LITE;0.1;0.1;0;0
Ткани по категориям ;1.0;1.0;0;6
Рулонные СТАНДАРТ;0.4;0.5;14;21
Рулонные Классик(Премиум,Дабл);0.4;0.5;14;21
Рулонные Люкс(Премиум,Дабл);0.4;0.5;23;36
Рулонные КВАТРО Классик;0.4;0.5;17;26
Рулонные КВАТРО Люкс;0.7;0.5;24;42
Руло ГРАНД;0.7;0.5;32;56
Рулонные СПРИНГ;0.6;0.4;13;19
Мини Нью;0.4;0.5;10;16
Мини;0.4;0.5;10;16
Уни - 1;0.4;0.5;20;18
Уни - 1 ламинация;0.4;0.5;20;18
Уни - 2;0.4;0.5;20;18
Уни - 2 ламинация;0.4;0.5;20;18
Р-ЛАЙТ;0.6;0.5;5;12
Замена ткани рулонной;0.4;0.5;27;36
Ткани КОМБО по категориям;1.0;1.0;0;0
КОМБО Мини Нью;0.4;0.5;12;19
КОМБО В-52 Стандарт;0.4;0.5;14;28
КОМБО Классик;0.4;0.5;14;28
КОМБО В-52 Люкс;0.4;0.5;23;36
Комбо Кватро Классик;0.4;0.5;14;28
Комбо Кватро Люкс;0.4;0.5;23;36
Замена ткани КОМБО;0.4;0.5;25;36
Комбо Уни-1 (белый);0.4;0.5;20;14
Комбо УНИ-2 (белый);0.4;0.5;20;14
Комбо УНИ-2 (лам);0.4;0.5;20;14
Римские шторы Компакт и XL;0.3;0.6;27;50
Образцы;1.0;1.0;0;6
Ремонт.Переделка;;;0;0
Огран. для электр. КОМБО;0.9;0.9;0;4
